"開催日","出品番号","レーン区分","構成","総数","メーカー","商品名","型番","シリーズ名","個品ID","表示順","Ｓ／Ｎ","CPU（性能）","RAMサイズ","RAMサイズメモ","ＨＤ容量","ＨＤ容量メモ","ドライブ","液晶","COA","仕様","状態","症状","詳細","備考","補足","その他","保証書有無","電源ケーブル有無","接続ケーブル有無","ガイド有無","リカバリ","OFFICE","付属品","落札価格","落札料","個品ID(バーコード)","個品ID(バーコード-Excel)","応札会場"
"20260106",2599,"B","セット","5","","ｼﾝｸﾗｲｱﾝﾄNTPCｾｯﾄ","MT45ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",84000,4085,"","=""""","関東"
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721640",1,"5CG0213XZG","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216403","=""*00037216403Q*""",""
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721639",2,"5CG0242892","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216393","=""*00037216393Y*""",""
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721638",3,"5CG0213XPT","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216383","=""*00037216383X*""",""
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721642",4,"5CG02427Y2","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216423","=""*00037216423S*""",""
"20260106",2599,"B","","","ＨＰ","ｼﾝｸﾗｲｱﾝﾄNTPC","MT45","","0003721641",5,"5CG024288L","RYZEN3PRO(3300U)-2.1GHZ","8GB","","128GB","","ﾅｼ","14","-","SSD、カメラ","ＮＯ","","","外観簡易検査･機能未検査(NCNR)","","","無","有","無","無","","","",,,"00037216413","=""*00037216413R*""",""
"20260106",2600,"B","セット","5","","NTPCｾｯﾄ","PROBOOK450G6ﾅﾄﾞ","","",,"","","","","","","","","","","","","","","","","","","","","","","",47000,3495,"","=""""","関東"
"20260106",2600,"B","","","ＨＰ","NTPC","PROBOOK450G6","","0003721365",1,"JPH003Y85Y","C(4205U)-1.8GHZ","8GB","","500GB","","ﾅｼ","15.6","-","カメラ、10キー","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037213653","=""*00037213653U*""",""
"20260106",2600,"B","","","ＨＰ","NTPC","PROBOOK450G6","","0003721366",2,"JPH014J15T","C(4205U)-1.8GHZ","8GB","","500GB","","ﾅｼ","15.6","-","カメラ、10キー","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037213663","=""*00037213663V*""",""
"20260106",2600,"B","","","ＨＰ","NTPC","PROBOOK450G6","","0003721362",3,"JPH014J15R","C(4205U)-1.8GHZ","4GB","","500GB","","ﾅｼ","15.6","-","カメラ、10キー","ＮＯ","完全未検査(通電のみ)","","","","","無","有","無","無","","","",,,"00037213623","=""*00037213623R*""",""
